email_text,label
"Hi Laura, here is the link to the shared document we talked about: https://docs.google.com/document/d/abc123. Let me know what you think.",legitimate
Your Apple payment information could not be verified. Please update your billing details immediately by clicking http://paypal-security-check.info to avoid suspension.,phishing
Your Apple account has a pending invoice of $249.99 that could not be processed. Click http://secure-login-update.com/verify now to update your payment method.,phishing
"Hi Marcus, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
URGENT: We detected a login attempt to your DHL account from an unrecognized device. Verify your account now at http://account-confirm-now.net/login or your account will be locked.,phishing
"Dear Customer, your Chase Bank account has been suspended due to unusual activity. Click here immediately to verify your identity: http://account-confirm-now.net/login. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi David, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
URGENT: We detected a login attempt to your Bank of America account from an unrecognized device. Verify your account now at http://paypal-security-check.info or your account will be locked.,phishing
URGENT: We detected a login attempt to your Netflix account from an unrecognized device. Verify your account now at http://bit.ly/3xKqL9 or your account will be locked.,phishing
"Hi Elena, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi Sarah, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
"Dear Customer, your Apple account has been suspended due to unusual activity. Click here immediately to verify your identity: http://account-confirm-now.net/login. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi Priya, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://secure-login-update.com/verify now to verify your PayPal account or your emails will be deleted.,phishing
"Hi Laura, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
"Hi Marcus, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Your Microsoft account has a pending invoice of $249.99 that could not be processed. Click http://account-confirm-now.net/login now to update your payment method.,phishing
"Hi Elena, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi Marcus, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
"Hi John, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
Your Bank of America account has a pending invoice of $249.99 that could not be processed. Click http://bit.ly/3xKqL9 now to update your payment method.,phishing
Security Alert: Someone tried to access your Apple account. Please confirm it was you by logging in here: http://secure-login-update.com/verify. This is your final warning.,phishing
URGENT: We detected a login attempt to your PayPal account from an unrecognized device. Verify your account now at http://paypal-security-check.info or your account will be locked.,phishing
"Hi David, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Your Microsoft account has a pending invoice of $249.99 that could not be processed. Click http://bit.ly/3xKqL9 now to update your payment method.,phishing
Congratulations! You have been selected to receive a $500 Microsoft gift card. To claim your prize confirm your details here: http://secure-login-update.com/verify. Offer expires in 12 hours!,phishing
"Hi Laura, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi David, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
Security Alert: Someone tried to access your Netflix account. Please confirm it was you by logging in here: http://bit.ly/3xKqL9. This is your final warning.,phishing
"Dear Customer, your Amazon account has been suspended due to unusual activity. Click here immediately to verify your identity: http://paypal-security-check.info. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi Sarah, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
Your Chase Bank account has a pending invoice of $249.99 that could not be processed. Click http://paypal-security-check.info now to update your payment method.,phishing
"Hey Tom, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Dear user, your Google subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://bit.ly/3xKqL9",phishing
"Dear user, your Netflix subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://paypal-security-check.info",phishing
"Hey Priya, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://bit.ly/3xKqL9 now to verify your Amazon account or your emails will be deleted.,phishing
"Hi Marcus, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
Your PayPal payment information could not be verified. Please update your billing details immediately by clicking http://account-confirm-now.net/login to avoid suspension.,phishing
"Hey John, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
Congratulations! You have been selected to receive a $500 Amazon gift card. To claim your prize confirm your details here: http://bit.ly/3xKqL9. Offer expires in 12 hours!,phishing
"Hey Priya, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Hi Sarah, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
"Hi John, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Congratulations! You have been selected to receive a $500 Bank of America gift card. To claim your prize confirm your details here: http://paypal-security-check.info. Offer expires in 12 hours!,phishing
"Hey Marcus, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://paypal-security-check.info now to verify your Apple account or your emails will be deleted.,phishing
Security Alert: Someone tried to access your Bank of America account. Please confirm it was you by logging in here: http://192.168.5.23/login.php. This is your final warning.,phishing
URGENT: We detected a login attempt to your Apple account from an unrecognized device. Verify your account now at http://secure-login-update.com/verify or your account will be locked.,phishing
Security Alert: Someone tried to access your Microsoft account. Please confirm it was you by logging in here: http://account-confirm-now.net/login. This is your final warning.,phishing
ATTENTION: Your mailbox has exceeded its storage limit. Click http://secure-login-update.com/verify now to verify your Bank of America account or your emails will be deleted.,phishing
"Hi Laura, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
"Hi David, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
Security Alert: Someone tried to access your DHL account. Please confirm it was you by logging in here: http://192.168.5.23/login.php. This is your final warning.,phishing
ATTENTION: Your mailbox has exceeded its storage limit. Click http://paypal-security-check.info now to verify your DHL account or your emails will be deleted.,phishing
"Hi Laura, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
"Dear Customer, your Amazon account has been suspended due to unusual activity. Click here immediately to verify your identity: http://paypal-security-check.info. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi John, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
"Hi John, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
Your Apple payment information could not be verified. Please update your billing details immediately by clicking http://secure-login-update.com/verify to avoid suspension.,phishing
"Hi Laura, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
Your Microsoft account has a pending invoice of $249.99 that could not be processed. Click http://secure-login-update.com/verify now to update your payment method.,phishing
Your Chase Bank account has a pending invoice of $249.99 that could not be processed. Click http://secure-login-update.com/verify now to update your payment method.,phishing
Congratulations! You have been selected to receive a $500 Netflix gift card. To claim your prize confirm your details here: http://account-confirm-now.net/login. Offer expires in 12 hours!,phishing
"Dear user, your Chase Bank subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://paypal-security-check.info",phishing
"Hi Sarah, here is the link to the shared document we talked about: https://docs.google.com/document/d/abc123. Let me know what you think.",legitimate
"Hey Marcus, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Hi Sarah, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
Your Microsoft payment information could not be verified. Please update your billing details immediately by clicking http://paypal-security-check.info to avoid suspension.,phishing
"Hi Elena, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
"Hi Marcus, here is the link to the shared document we talked about: https://zoom.us/j/123456789. Let me know what you think.",legitimate
"Hi Elena, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi Tom, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
"Dear user, your Google subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://bit.ly/3xKqL9",phishing
"Hey Laura, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Dear Customer, your DHL account has been suspended due to unusual activity. Click here immediately to verify your identity: http://secure-login-update.com/verify. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi Sarah, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
Your DHL payment information could not be verified. Please update your billing details immediately by clicking http://192.168.5.23/login.php to avoid suspension.,phishing
"Hi Priya, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
URGENT: We detected a login attempt to your Microsoft account from an unrecognized device. Verify your account now at http://192.168.5.23/login.php or your account will be locked.,phishing
"Dear user, your eBay subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://192.168.5.23/login.php",phishing
Your Chase Bank payment information could not be verified. Please update your billing details immediately by clicking http://secure-login-update.com/verify to avoid suspension.,phishing
"Hi David, just a reminder that your subscription renews next month. No action needed, this is just a heads up.",legitimate
"Hi Tom, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
URGENT: We detected a login attempt to your eBay account from an unrecognized device. Verify your account now at http://paypal-security-check.info or your account will be locked.,phishing
Congratulations! You have been selected to receive a $500 Amazon gift card. To claim your prize confirm your details here: http://bit.ly/3xKqL9. Offer expires in 12 hours!,phishing
URGENT: We detected a login attempt to your Chase Bank account from an unrecognized device. Verify your account now at http://paypal-security-check.info or your account will be locked.,phishing
"Hi John, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi Marcus, here is the link to the shared document we talked about: https://docs.google.com/document/d/abc123. Let me know what you think.",legitimate
Congratulations! You have been selected to receive a $500 Microsoft gift card. To claim your prize confirm your details here: http://paypal-security-check.info. Offer expires in 12 hours!,phishing
"Hi Tom, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi Sarah, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
ATTENTION: Your mailbox has exceeded its storage limit. Click http://paypal-security-check.info now to verify your DHL account or your emails will be deleted.,phishing
"Hi Tom, here is the link to the shared document we talked about: https://docs.google.com/document/d/abc123. Let me know what you think.",legitimate
"Dear Customer, your PayPal account has been suspended due to unusual activity. Click here immediately to verify your identity: http://secure-login-update.com/verify. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi John, here is the link to the shared document we talked about: https://zoom.us/j/123456789. Let me know what you think.",legitimate
Your eBay account has a pending invoice of $249.99 that could not be processed. Click http://account-confirm-now.net/login now to update your payment method.,phishing
"Hi Sarah, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi Laura, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
"Hi Priya, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi John, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi Elena, the meeting tomorrow has been moved to 10am instead of 9am. Same conference room. See you there.",legitimate
"Hi Marcus, welcome to the team! Your laptop and login details will be ready on your first day.",legitimate
Your Chase Bank payment information could not be verified. Please update your billing details immediately by clicking http://secure-login-update.com/verify to avoid suspension.,phishing
Security Alert: Someone tried to access your eBay account. Please confirm it was you by logging in here: http://account-confirm-now.net/login. This is your final warning.,phishing
Your Amazon payment information could not be verified. Please update your billing details immediately by clicking http://paypal-security-check.info to avoid suspension.,phishing
Congratulations! You have been selected to receive a $500 Amazon gift card. To claim your prize confirm your details here: http://192.168.5.23/login.php. Offer expires in 12 hours!,phishing
ATTENTION: Your mailbox has exceeded its storage limit. Click http://paypal-security-check.info now to verify your Bank of America account or your emails will be deleted.,phishing
"Hi Tom, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hey Laura, thanks for your help with the report last week. Looking forward to working with you again.",legitimate
"Hi Elena, just checking in to see if you had a chance to review the project document I sent yesterday. Let me know if you have any questions.",legitimate
"Hi Marcus, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
"Hi Marcus, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Hi Marcus, attached is the agenda for Thursday's team meeting. Please add any topics you'd like to discuss.",legitimate
"Dear user, your Microsoft subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://account-confirm-now.net/login",phishing
Security Alert: Someone tried to access your Google account. Please confirm it was you by logging in here: http://account-confirm-now.net/login. This is your final warning.,phishing
ATTENTION: Your mailbox has exceeded its storage limit. Click http://account-confirm-now.net/login now to verify your Netflix account or your emails will be deleted.,phishing
"Hi David, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
"Hi John, here is the link to the shared document we talked about: https://docs.google.com/document/d/abc123. Let me know what you think.",legitimate
"Hi Laura, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
Security Alert: Someone tried to access your Netflix account. Please confirm it was you by logging in here: http://192.168.5.23/login.php. This is your final warning.,phishing
"Dear user, your Apple subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://account-confirm-now.net/login",phishing
"Dear Customer, your Amazon account has been suspended due to unusual activity. Click here immediately to verify your identity: http://secure-login-update.com/verify. Failure to act within 24 hours will result in permanent account closure.",phishing
"Dear user, your Bank of America subscription will be cancelled unless you confirm your card details within 24 hours. Click here: http://account-confirm-now.net/login",phishing
Congratulations! You have been selected to receive a $500 Apple gift card. To claim your prize confirm your details here: http://secure-login-update.com/verify. Offer expires in 12 hours!,phishing
"Dear Customer, your Chase Bank account has been suspended due to unusual activity. Click here immediately to verify your identity: http://account-confirm-now.net/login. Failure to act within 24 hours will result in permanent account closure.",phishing
"Hi Tom, I reviewed the budget spreadsheet and left some comments. Could we set up a quick call this week?",legitimate
"Hi Marcus, here is the link to the shared document we talked about: https://github.com/myteam/project. Let me know what you think.",legitimate
